"","initial_user","danceability","energy","speechiness","acousticness","instrumentalness","liveness","valence","track.id","cluster","label"
"40","1122031659",0.693,0.914,0.0593,0.0406,0.000292,0.112,0.79,"1bQzetAXXDDTOAGw2jXSLx",3,"yes"
"41","1122031659",0.645,0.984,0.0508,0.164,0.00701,0.164,0.553,"4cOPfpuLQHAH669rjMdehQ",3,"yes"
"42","1122031659",0.605,0.974,0.0279,0.119,0.00147,0.157,0.648,"5gOK3GYmmWvV8UyCpnRY4J",3,"yes"
"43","1122031659",0.811,0.935,0.0407,0.0134,0.411,0.0244,0.968,"65OXGbKBQ8gUyJvUd0jNpf",3,"yes"
"44","1122031659",0.863,0.799,0.196,0.000743,0.000885,0.116,0.621,"1MkgiZxg5LawKLjtIFFsmA",3,"yes"
"45","1122031659",0.759,0.974,0.0512,0.0281,0.0814,0.231,0.608,"36xsgGPL8pgiAO9gzMZwpl",3,"yes"
"46","1122031659",0.617,0.519,0.0404,0.292,0,0.411,0.692,"2S7RApTsKT0CtYojYq2cKz",10,"yes"
"47","1122031659",0.816,0.72,0.0394,0.0287,0.0769,0.0514,0.973,"2JLvwadQSPq6aFEuekTJYf",3,"yes"
"48","1122031659",0.725,0.978,0.0493,0.101,0.000282,0.0641,0.894,"2pd1wjBw4qByv8WMznwVaD",3,"yes"
"49","1122031659",0.678,0.583,0.0325,0.224,2.54e-05,0.135,0.73,"4gpvNxnLJOyEGGSOCxVhAe",3,"yes"
"50","1122031659",0.255,0.43,0.0322,0.546,1.87e-05,0.188,0.546,"2xYlyywNgefLCRDG8hlxZq",8,"yes"
"51","1122031659",0.474,0.906,0.0348,0.0492,5.58e-06,0.136,0.82,"30y52XjphJO3jDMgKMhBvs",3,"yes"
"52","1122031659",0.665,0.842,0.255,0.0235,0,0.0763,0.629,"4BVFVaa1fDo20Ud1q5Gd2N",3,"yes"
"53","1122031659",0.317,0.208,0.223,0.379,0.119,0.104,0.0865,"35ZatuwRFT7QeM94G4i99z",8,"yes"
"54","1122031659",0.59,0.976,0.0488,0.000154,0.293,0.155,0.686,"7FNIEfhhBlzsZFxCwI5Nwh",3,"yes"
"55","1122031659",0.635,0.83,0.144,0.0971,1.13e-06,0.0877,0.64,"6ZSgKQs6wEXP8sY3KuL2xy",3,"yes"
"56","1122031659",0.571,0.551,0.0268,0.431,0.0207,0.0852,0.165,"5vV3MXW9acnFuYeYO08CHC",8,"yes"
"57","1122031659",0.617,0.533,0.0651,0.0891,4.04e-06,0.0415,0.835,"0QKfiqpEU4h9ycPSzIFwYe",3,"yes"
"58","1122031659",0.771,0.655,0.0372,0.152,0.00197,0.0685,0.97,"1ZPlNanZsJSPK5h9YZZFbZ",3,"yes"
"59","1122031659",0.731,0.853,0.0363,0.0352,0,0.268,0.605,"1di1BEgJYzPvXUuinsYJGP",3,"yes"
"60","1122031659",0.782,0.921,0.0997,0.0581,0.000104,0.283,0.791,"6JXNeypjzzan6VoMP0Q5Qm",3,"yes"
"61","1122031659",0.193,0.43,0.0344,0.412,0.00667,0.49,0.335,"0p22isB9cvNajvi63OtYf8",8,"yes"
"62","1122031659",0.653,0.645,0.066,0.0851,0.000908,0.53,0.535,"36w0zbBbl09EoFdir4KBrD",10,"yes"
"63","1122031659",0.717,0.518,0.0492,0.217,0,0.207,0.849,"7egg6pLQbewWGalcr241Rz",3,"yes"
"64","1122031659",0.389,0.29,0.0393,0.406,3.97e-05,0.0758,0.158,"6L2woktiAuW35BrcROmhW5",8,"yes"
"65","1122031659",0.496,0.896,0.0289,0.0184,0,0.16,0.655,"2LZnEV1n6P17QDSPTEB2S6",3,"yes"
"66","1122031659",0.498,0.66,0.0437,0.568,0.395,0.159,0.0332,"2xK6remdEjB0ipy6CFXUqi",8,"yes"
"67","1122031659",0.174,0.53,0.0413,0.492,0.00177,0.0858,0.178,"5FbQJnFbGLCqDK96kGpA3b",8,"yes"
"68","1122031659",0.624,0.673,0.038,0.382,0.00307,0.103,0.427,"33ixOulITM97y5kLn3Lb6H",8,"yes"
"69","1122031659",0.54,0.644,0.243,0.0441,0.208,0.567,0.469,"3uD8x3IzUWD1BNlCC3fXk2",10,"yes"
"70","1122031659",0.556,0.827,0.0548,0.0302,1.44e-05,0.116,0.878,"28dErH6zwfZFzmzSzrbfZk",3,"yes"
"71","1122031659",0.392,0.425,0.0479,0.207,0.0788,0.381,0.136,"0Q7ADzQ5jmIWNviwfBAF0e",8,"yes"
"72","1122031659",0.258,0.341,0.0471,0.295,0.00232,0.127,0.349,"0IIsHvuYvZsIEqJZh8zQjS",8,"yes"
"73","1122031659",0.331,0.55,0.0272,0.605,3.96e-06,0.192,0.429,"70C4NyhjD5OZUMzvWZ3njJ",8,"yes"
"74","1122031659",0.621,0.615,0.032,0.649,0,0.0891,0.179,"541hgOF71B92Jpg4IU6kyx",8,"yes"
"75","1122031659",0.547,0.889,0.0421,0.0258,0,0.371,0.559,"3o6EA5kUN9LlzbZOXMimu2",10,"yes"
"76","1122031659",0.345,0.418,0.0316,0.299,1.75e-05,0.103,0.267,"5PK1JCSdr34gWgzYHgt3Jq",8,"yes"
"77","1122031659",0.662,0.762,0.224,0.206,0.368,0.0647,0.9,"0ibr9W60zg3lSVIClr2tWG",3,"yes"
"78","1122031659",0.639,0.845,0.0372,0.0528,0,0.336,0.871,"1FHNctV68GUNLgXclG2DtR",3,"yes"
"79","1122031659",0.545,0.59,0.0327,0.32,0.000389,0.124,0.127,"10ViidwjGLCfVtGPfdcszR",8,"yes"
"80","1122031659",0.693,0.695,0.0446,0.192,0.000925,0.489,0.553,"3kwRiuw2oJoArGs3EusCgn",10,"yes"
"81","1122031659",0.445,0.471,0.0307,0.362,0.00562,0.661,0.0742,"28RgNB3KlLcjGrWSxLGutK",8,"yes"
"82","1122031659",0.513,0.395,0.0337,0.22,0.000857,0.142,0.389,"2nHIpMhUqgKmRspWbKu3In",8,"yes"
"83","1122031659",0.369,0.711,0.0549,0.539,0,0.564,0.587,"0tmymNepBnvrylfO9ZKiqx",10,"yes"
